Note that User Simulator few shot messages have been omitted
shape: (11, 8)
+------------+------------+------------+------------+------------+------------+------------+------------+
| sandbox_me | sender     | recipient  | content    | openai_fun | tool_call_ | tool_trace | visible_to |
| ssage_inde | ---        | ---        | ---        | ction_name | exception  | ---        | ---        |
| x          | enum       | enum       | str        | ---        | ---        | list[str]  | list[enum] |
| ---        |            |            |            | str        | str        |            |            |
| i32        |            |            |            |            |            |            |            |
+=======================================================================================================+
| 0          | SYSTEM     | EXECUTION_ | import     | null       | null       | null       | null       |
|            |            | ENVIRONMEN | json       |            |            |            |            |
|            |            | T          | from tool_ |            |            |            |            |
|            |            |            | sandbox.to |            |            |            |            |
|            |            |            | ols.contac |            |            |            |            |
|            |            |            | t import   |            |            |            |            |
|            |            |            | add_contac |            |            |            |            |
|            |            |            | t, modify_ |            |            |            |            |
|            |            |            | contact,   |            |            |            |            |
|            |            |            | remove_con |            |            |            |            |
|            |            |            | tact, sear |            |            |            |            |
|            |            |            | ch_contact |            |            |            |            |
|            |            |            | s          |            |            |            |            |
|            |            |            | from tool_ |            |            |            |            |
|            |            |            | sandbox.to |            |            |            |            |
|            |            |            | ols.settin |            |            |            |            |
|            |            |            | g import   |            |            |            |            |
|            |            |            | get_cellul |            |            |            |            |
|            |            |            | ar_service |            |            |            |            |
|            |            |            | _status,   |            |            |            |            |
|            |            |            | get_curren |            |            |            |            |
|            |            |            | t_location |            |            |            |            |
|            |            |            | , get_loca |            |            |            |            |
|            |            |            | tion_servi |            |            |            |            |
|            |            |            | ce_status, |            |            |            |            |
|            |            |            | get_wifi_s |            |            |            |            |
|            |            |            | tatus, get |            |            |            |            |
|            |            |            | _low_batte |            |            |            |            |
|            |            |            | ry_mode_st |            |            |            |            |
|            |            |            | atus, set_ |            |            |            |            |
|            |            |            | cellular_s |            |            |            |            |
|            |            |            | ervice_sta |            |            |            |            |
|            |            |            | tus, set_l |            |            |            |            |
|            |            |            | ocation_se |            |            |            |            |
|            |            |            | rvice_stat |            |            |            |            |
|            |            |            | us, set_lo |            |            |            |            |
|            |            |            | w_battery_ |            |            |            |            |
|            |            |            | mode_statu |            |            |            |            |
|            |            |            | s, set_wif |            |            |            |            |
|            |            |            | i_status   |            |            |            |            |
|            |            |            | from tool_ |            |            |            |            |
|            |            |            | sandbox.to |            |            |            |            |
|            |            |            | ols.messag |            |            |            |            |
|            |            |            | ing import |            |            |            |            |
|            |            |            | search_mes |            |            |            |            |
|            |            |            | sages, sen |            |            |            |            |
|            |            |            | d_message_ |            |            |            |            |
|            |            |            | with_phone |            |            |            |            |
|            |            |            | _number    |            |            |            |            |
|            |            |            | from tool_ |            |            |            |            |
|            |            |            | sandbox.to |            |            |            |            |
|            |            |            | ols.rapid_ |            |            |            |            |
|            |            |            | api_search |            |            |            |            |
|            |            |            | _tools     |            |            |            |            |
|            |            |            | import con |            |            |            |            |
|            |            |            | vert_curre |            |            |            |            |
|            |            |            | ncy, searc |            |            |            |            |
|            |            |            | h_lat_lon, |            |            |            |            |
|            |            |            | search_loc |            |            |            |            |
|            |            |            | ation_arou |            |            |            |            |
|            |            |            | nd_lat_lon |            |            |            |            |
|            |            |            | , search_s |            |            |            |            |
|            |            |            | tock, sear |            |            |            |            |
|            |            |            | ch_weather |            |            |            |            |
|            |            |            | _around_la |            |            |            |            |
|            |            |            | t_lon      |            |            |            |            |
|            |            |            | from tool_ |            |            |            |            |
|            |            |            | sandbox.to |            |            |            |            |
|            |            |            | ols.remind |            |            |            |            |
|            |            |            | er import  |            |            |            |            |
|            |            |            | add_remind |            |            |            |            |
|            |            |            | er, modify |            |            |            |            |
|            |            |            | _reminder, |            |            |            |            |
|            |            |            | remove_rem |            |            |            |            |
|            |            |            | inder, sea |            |            |            |            |
|            |            |            | rch_remind |            |            |            |            |
|            |            |            | er         |            |            |            |            |
|            |            |            | from tool_ |            |            |            |            |
|            |            |            | sandbox.to |            |            |            |            |
|            |            |            | ols.user_t |            |            |            |            |
|            |            |            | ools       |            |            |            |            |
|            |            |            | import end |            |            |            |            |
|            |            |            | _conversat |            |            |            |            |
|            |            |            | ion        |            |            |            |            |
|            |            |            | from tool_ |            |            |            |            |
|            |            |            | sandbox.to |            |            |            |            |
|            |            |            | ols.utilit |            |            |            |            |
|            |            |            | ies import |            |            |            |            |
|            |            |            | calculate_ |            |            |            |            |
|            |            |            | lat_lon_di |            |            |            |            |
|            |            |            | stance,    |            |            |            |            |
|            |            |            | datetime_i |            |            |            |            |
|            |            |            | nfo_to_tim |            |            |            |            |
|            |            |            | estamp,    |            |            |            |            |
|            |            |            | get_curren |            |            |            |            |
|            |            |            | t_timestam |            |            |            |            |
|            |            |            | p, search_ |            |            |            |            |
|            |            |            | holiday,   |            |            |            |            |
|            |            |            | seconds_to |            |            |            |            |
|            |            |            | _hours_min |            |            |            |            |
|            |            |            | utes_secon |            |            |            |            |
|            |            |            | ds, shift_ |            |            |            |            |
|            |            |            | timestamp, |            |            |            |            |
|            |            |            | timestamp_ |            |            |            |            |
|            |            |            | diff, time |            |            |            |            |
|            |            |            | stamp_to_d |            |            |            |            |
|            |            |            | atetime_in |            |            |            |            |
|            |            |            | fo, unit_c |            |            |            |            |
|            |            |            | onversion  |            |            |            |            |
|            |            |            |            |            |            |            |            |
|------------+------------+------------+------------+------------+------------+------------+------------|
| 1          | SYSTEM     | AGENT      | Don't make | null       | null       | null       | null       |
|            |            |            | assumption |            |            |            |            |
|            |            |            | s about    |            |            |            |            |
|            |            |            | what       |            |            |            |            |
|            |            |            | values to  |            |            |            |            |
|            |            |            | plug into  |            |            |            |            |
|            |            |            | functions. |            |            |            |            |
|            |            |            | Ask for    |            |            |            |            |
|            |            |            | clarificat |            |            |            |            |
|            |            |            | ion if a   |            |            |            |            |
|            |            |            | user       |            |            |            |            |
|            |            |            | request is |            |            |            |            |
|            |            |            | ambiguous. |            |            |            |            |
|------------+------------+------------+------------+------------+------------+------------+------------|
| 14         | SYSTEM     | USER       | You are no | null       | null       | null       | null       |
|            |            |            | longer an  |            |            |            |            |
|            |            |            | assistant. |            |            |            |            |
|            |            |            | From now   |            |            |            |            |
|            |            |            | on role    |            |            |            |            |
|            |            |            | play as a  |            |            |            |            |
|            |            |            | user (User |            |            |            |            |
|            |            |            | A) talking |            |            |            |            |
|            |            |            | to another |            |            |            |            |
|            |            |            | user (User |            |            |            |            |
|            |            |            | B).        |            |            |            |            |
|            |            |            | Make sure  |            |            |            |            |
|            |            |            | you follow |            |            |            |            |
|            |            |            | these inst |            |            |            |            |
|            |            |            | ructions:  |            |            |            |            |
|            |            |            |            |            |            |            |            |
|            |            |            | 0. DO NOT  |            |            |            |            |
|            |            |            | act as if  |            |            |            |            |
|            |            |            | you (User  |            |            |            |            |
|            |            |            | A) are an  |            |            |            |            |
|            |            |            | assistant. |            |            |            |            |
|            |            |            | ALWAYS     |            |            |            |            |
|            |            |            | treat      |            |            |            |            |
|            |            |            | yourself   |            |            |            |            |
|            |            |            | as a user  |            |            |            |            |
|            |            |            | (User A).  |            |            |            |            |
|            |            |            | Do not ask |            |            |            |            |
|            |            |            | questions  |            |            |            |            |
|            |            |            | to the     |            |            |            |            |
|            |            |            | other user |            |            |            |            |
|            |            |            | (User B).  |            |            |            |            |
|            |            |            | 1. Answer  |            |            |            |            |
|            |            |            | any        |            |            |            |            |
|            |            |            | question   |            |            |            |            |
|            |            |            | User B     |            |            |            |            |
|            |            |            | asks you   |            |            |            |            |
|            |            |            | (User A)   |            |            |            |            |
|            |            |            | accurately |            |            |            |            |
|            |            |            | . Use only |            |            |            |            |
|            |            |            | the inform |            |            |            |            |
|            |            |            | ation      |            |            |            |            |
|            |            |            | provided.  |            |            |            |            |
|            |            |            | Do not     |            |            |            |            |
|            |            |            | make up    |            |            |            |            |
|            |            |            | false info |            |            |            |            |
|            |            |            | rmation.   |            |            |            |            |
|            |            |            | 2.  Use    |            |            |            |            |
|            |            |            | natural,   |            |            |            |            |
|            |            |            | short,     |            |            |            |            |
|            |            |            | casual     |            |            |            |            |
|            |            |            | language.  |            |            |            |            |
|            |            |            | 3.  If     |            |            |            |            |
|            |            |            | User B     |            |            |            |            |
|            |            |            | says it    |            |            |            |            |
|            |            |            | could not  |            |            |            |            |
|            |            |            | complete   |            |            |            |            |
|            |            |            | the task,  |            |            |            |            |
|            |            |            | either     |            |            |            |            |
|            |            |            | provide    |            |            |            |            |
|            |            |            | more infor |            |            |            |            |
|            |            |            | mation     |            |            |            |            |
|            |            |            | you (User  |            |            |            |            |
|            |            |            | A) posses, |            |            |            |            |
|            |            |            | or ask it  |            |            |            |            |
|            |            |            | to use the |            |            |            |            |
|            |            |            | tools it   |            |            |            |            |
|            |            |            | figure it  |            |            |            |            |
|            |            |            | out itself |            |            |            |            |
|            |            |            | if you     |            |            |            |            |
|            |            |            | (User A)   |            |            |            |            |
|            |            |            | do not     |            |            |            |            |
|            |            |            | posses inf |            |            |            |            |
|            |            |            | ormation   |            |            |            |            |
|            |            |            | that could |            |            |            |            |
|            |            |            | help.      |            |            |            |            |
|            |            |            | 4.  Allow  |            |            |            |            |
|            |            |            | User B to  |            |            |            |            |
|            |            |            | turn off   |            |            |            |            |
|            |            |            | low        |            |            |            |            |
|            |            |            | battery    |            |            |            |            |
|            |            |            | mode, turn |            |            |            |            |
|            |            |            | on         |            |            |            |            |
|            |            |            | cellular   |            |            |            |            |
|            |            |            | service,   |            |            |            |            |
|            |            |            | wifi or    |            |            |            |            |
|            |            |            | location   |            |            |            |            |
|            |            |            | service    |            |            |            |            |
|            |            |            | in order   |            |            |            |            |
|            |            |            | to         |            |            |            |            |
|            |            |            | complete   |            |            |            |            |
|            |            |            | the task.  |            |            |            |            |
|            |            |            | 5.  When   |            |            |            |            |
|            |            |            | User B     |            |            |            |            |
|            |            |            | completed  |            |            |            |            |
|            |            |            | the task,  |            |            |            |            |
|            |            |            | even if    |            |            |            |            |
|            |            |            | you (User  |            |            |            |            |
|            |            |            | A) don't   |            |            |            |            |
|            |            |            | have       |            |            |            |            |
|            |            |            | enough inf |            |            |            |            |
|            |            |            | ormation   |            |            |            |            |
|            |            |            | to         |            |            |            |            |
|            |            |            | validate   |            |            |            |            |
|            |            |            | the        |            |            |            |            |
|            |            |            | correctnes |            |            |            |            |
|            |            |            | s, break   |            |            |            |            |
|            |            |            | out of     |            |            |            |            |
|            |            |            | role       |            |            |            |            |
|            |            |            | playing    |            |            |            |            |
|            |            |            | and use    |            |            |            |            |
|            |            |            | the        |            |            |            |            |
|            |            |            | provided   |            |            |            |            |
|            |            |            | tool named |            |            |            |            |
|            |            |            | `end_conve |            |            |            |            |
|            |            |            | rsation`   |            |            |            |            |
|            |            |            | to stop    |            |            |            |            |
|            |            |            | the conver |            |            |            |            |
|            |            |            | sation.    |            |            |            |            |
|            |            |            | 6.  When   |            |            |            |            |
|            |            |            | User B     |            |            |            |            |
|            |            |            | cannot     |            |            |            |            |
|            |            |            | complete   |            |            |            |            |
|            |            |            | the        |            |            |            |            |
|            |            |            | request    |            |            |            |            |
|            |            |            | after 5    |            |            |            |            |
|            |            |            | tries,     |            |            |            |            |
|            |            |            | break out  |            |            |            |            |
|            |            |            | of role    |            |            |            |            |
|            |            |            | playing    |            |            |            |            |
|            |            |            | and        |            |            |            |            |
|            |            |            | use the    |            |            |            |            |
|            |            |            | provided   |            |            |            |            |
|            |            |            | tool named |            |            |            |            |
|            |            |            | `end_conve |            |            |            |            |
|            |            |            | rsation`   |            |            |            |            |
|            |            |            | to stop    |            |            |            |            |
|            |            |            | the conver |            |            |            |            |
|            |            |            | sation.    |            |            |            |            |
|            |            |            |            |            |            |            |            |
|            |            |            | Answer     |            |            |            |            |
|            |            |            | User B's   |            |            |            |            |
|            |            |            | questions  |            |            |            |            |
|            |            |            | given the  |            |            |            |            |
|            |            |            | following  |            |            |            |            |
|            |            |            | task you   |            |            |            |            |
|            |            |            | (User A)   |            |            |            |            |
|            |            |            | want User  |            |            |            |            |
|            |            |            | B to       |            |            |            |            |
|            |            |            | complete:  |            |            |            |            |
|            |            |            | Check wifi |            |            |            |            |
|            |            |            | status     |            |            |            |            |
|------------+------------+------------+------------+------------+------------+------------+------------|
| 15         | USER       | AGENT      | Is my wifi | null       | null       | null       | null       |
|            |            |            | on?        |            |            |            |            |
|------------+------------+------------+------------+------------+------------+------------+------------|
| 16         | AGENT      | EXECUTION_ | chatcmpl-t | get_wifi_s | null       | null       | ["AGENT",  |
|            |            | ENVIRONMEN | ool-9cac1a | tatus      |            |            | "EXECUTION |
|            |            | T          | 18e4f15cb4 |            |            |            | _ENVIRONME |
|            |            |            | _parameter |            |            |            | NT"]       |
|            |            |            | s = {}     |            |            |            |            |
|            |            |            | chatcmpl-t |            |            |            |            |
|            |            |            | ool-9cac1a |            |            |            |            |
|            |            |            | 18e4f15cb4 |            |            |            |            |
|            |            |            | _response  |            |            |            |            |
|            |            |            | = get_wifi |            |            |            |            |
|            |            |            | _status(** |            |            |            |            |
|            |            |            | chatcmpl-t |            |            |            |            |
|            |            |            | ool-9cac1a |            |            |            |            |
|            |            |            | 18e4f15cb4 |            |            |            |            |
|            |            |            | _parameter |            |            |            |            |
|            |            |            | s)         |            |            |            |            |
|            |            |            | print(repr |            |            |            |            |
|            |            |            | (chatcmpl- |            |            |            |            |
|            |            |            | tool-9cac1 |            |            |            |            |
|            |            |            | a18e4f15cb |            |            |            |            |
|            |            |            | 4_response |            |            |            |            |
|            |            |            | ))         |            |            |            |            |
|------------+------------+------------+------------+------------+------------+------------+------------|
| 17         | EXECUTION_ | AGENT      | File       | get_wifi_s | File       | null       | ["EXECUTIO |
|            | ENVIRONMEN |            | "<input>", | tatus      | "<input>", |            | N_ENVIRONM |
|            | T          |            | line 1     |            | line 1     |            | ENT",      |
|            |            |            | chatcmpl-t |            | chatcmpl-t |            | "AGENT"]   |
|            |            |            | ool-9cac1a |            | ool-9cac1a |            |            |
|            |            |            | 18e4f15cb4 |            | 18e4f15cb4 |            |            |
|            |            |            | _parameter |            | _parameter |            |            |
|            |            |            | s = {}     |            | s = {}     |            |            |
|            |            |            | ^          |            | ^          |            |            |
|            |            |            | SyntaxErro |            | SyntaxErro |            |            |
|            |            |            | r: invalid |            | r: invalid |            |            |
|            |            |            | decimal    |            | decimal    |            |            |
|            |            |            | literal    |            | literal    |            |            |
|            |            |            |            |            |            |            |            |
|------------+------------+------------+------------+------------+------------+------------+------------|
| 18         | AGENT      | EXECUTION_ | call_00_lb | get_wifi_s | null       | null       | ["AGENT",  |
|            |            | ENVIRONMEN | EydeRs9itT | tatus      |            |            | "EXECUTION |
|            |            | T          | YuJnUxVg32 |            |            |            | _ENVIRONME |
|            |            |            | 21_paramet |            |            |            | NT"]       |
|            |            |            | ers = {}   |            |            |            |            |
|            |            |            | call_00_lb |            |            |            |            |
|            |            |            | EydeRs9itT |            |            |            |            |
|            |            |            | YuJnUxVg32 |            |            |            |            |
|            |            |            | 21_respons |            |            |            |            |
|            |            |            | e = get_wi |            |            |            |            |
|            |            |            | fi_status( |            |            |            |            |
|            |            |            | **call_00_ |            |            |            |            |
|            |            |            | lbEydeRs9i |            |            |            |            |
|            |            |            | tTYuJnUxVg |            |            |            |            |
|            |            |            | 3221_param |            |            |            |            |
|            |            |            | eters)     |            |            |            |            |
|            |            |            | print(repr |            |            |            |            |
|            |            |            | (call_00_l |            |            |            |            |
|            |            |            | bEydeRs9it |            |            |            |            |
|            |            |            | TYuJnUxVg3 |            |            |            |            |
|            |            |            | 221_respon |            |            |            |            |
|            |            |            | se))       |            |            |            |            |
|------------+------------+------------+------------+------------+------------+------------+------------|
| 19         | EXECUTION_ | AGENT      | True       | get_wifi_s | null       | ["{"tool_n | ["EXECUTIO |
|            | ENVIRONMEN |            |            | tatus      |            | ame": "get | N_ENVIRONM |
|            | T          |            |            |            |            | _wifi_stat | ENT",      |
|            |            |            |            |            |            | us", "argu | "AGENT"]   |
|            |            |            |            |            |            | ments":    |            |
|            |            |            |            |            |            | {},        |            |
|            |            |            |            |            |            | "result":  |            |
|            |            |            |            |            |            | true}"]    |            |
|------------+------------+------------+------------+------------+------------+------------+------------|
| 20         | AGENT      | USER       | Yes, your  | null       | null       | null       | ["AGENT",  |
|            |            |            | wifi is    |            |            |            | "USER"]    |
|            |            |            | on! ✅     |            |            |            |            |
|------------+------------+------------+------------+------------+------------+------------+------------|
| 21         | USER       | EXECUTION_ | print(repr | null       | null       | null       | ["USER",   |
|            |            | ENVIRONMEN | (end_conve |            |            |            | "EXECUTION |
|            |            | T          | rsation()) |            |            |            | _ENVIRONME |
|            |            |            | )          |            |            |            | NT"]       |
|------------+------------+------------+------------+------------+------------+------------+------------|
| 22         | EXECUTION_ | USER       | None       | null       | null       | ["{"tool_n | ["EXECUTIO |
|            | ENVIRONMEN |            |            |            |            | ame": "end | N_ENVIRONM |
|            | T          |            |            |            |            | _conversat | ENT",      |
|            |            |            |            |            |            | ion", "arg | "USER"]    |
|            |            |            |            |            |            | uments":   |            |
|            |            |            |            |            |            | {},        |            |
|            |            |            |            |            |            | "result":  |            |
|            |            |            |            |            |            | null}"]    |            |
+------------+------------+------------+------------+------------+------------+------------+------------+
